"","Condition","Sample","Type","UVAshort"
"1","Disease","Chestnut","Tree","LD1"
"2","Disease","Chestnut","Tree","LD2"
"3","Disease","Chestnut","Tree","LD3"
"4","Healthy","Chestnut","Tree","LH1"
"5","Healthy","Chestnut","Tree","LH2"
"6","Healthy","Chestnut","Tree","LH3"
"7","Disease","Cork oak","Tree","VD1"
"8","Disease","Cork oak","Tree","VD2"
"9","Disease","Cork oak","Tree","VD3"
"10","Healthy","Cork oak","Tree","VH1"
"11","Healthy","Cork oak","Tree","VH2"
"12","Healthy","Cork oak","Tree","VH3"
"13","Disease","Holm oak","Tree","AD1"
"14","Disease","Holm oak","Tree","AD2"
"15","Disease","Holm oak","Tree","AD3"
"16","Healthy","Holm oak","Tree","AH1"
"17","Healthy","Holm oak","Tree","AH2"
"18","Healthy","Holm oak","Tree","AH3"
"19","Disease","Pyrenean oak","Tree","CD1"
"20","Disease","Pyrenean oak","Tree","CD2"
"21","Disease","Pyrenean oak","Tree","CD3"
"22","Healthy","Pyrenean oak","Tree","CH1"
"23","Healthy","Pyrenean oak","Tree","CH2"
"24","Healthy","Pyrenean oak","Tree","CH3"
"25","Disease","Chestnut","Soil","LD1"
"26","Disease","Chestnut","Soil","LD2"
"27","Disease","Chestnut","Soil","LD3"
"28","Healthy","Chestnut","Soil","LH1"
"29","Healthy","Chestnut","Soil","LH2"
"30","Healthy","Chestnut","Soil","LH3"
"31","Disease","Cork oak","Soil","VD1"
"32","Disease","Cork oak","Soil","VD2"
"33","Disease","Cork oak","Soil","VD3"
"34","Healthy","Cork oak","Soil","VH1"
"35","Healthy","Cork oak","Soil","VH2"
"36","Healthy","Cork oak","Soil","VH3"
"37","Disease","Holm oak","Soil","AD1"
"38","Disease","Holm oak","Soil","AD2"
"39","Disease","Holm oak","Soil","AD3"
"40","Healthy","Holm oak","Soil","AH1"
"41","Healthy","Holm oak","Soil","AH2"
"42","Healthy","Holm oak","Soil","AH3"
"43","Disease","Pyrenean oak","Soil","CD1"
"44","Disease","Pyrenean oak","Soil","CD2"
"45","Disease","Pyrenean oak","Soil","CD3"
"46","Healthy","Pyrenean oak","Soil","CH1"
"47","Healthy","Pyrenean oak","Soil","CH2"
"48","Healthy","Pyrenean oak","Soil","CH3"
