"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;unidentified",0,2,11,0,133,34,0,5154,21,276,2835,17397,221,2,0,4525,517,0,0,0,0,252,24,2
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__oxysporum",2605,1063,1347,1809,1814,2197,1119,178,583,472,261,18,28,0,0,11,14,9,2,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__persoonii",0,0,0,0,0,0,0,0,0,0,0,0,0,1076,302,10399,0,1461,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__bertillonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10647,60,0,7,5836,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cyanoxantha",0,0,0,0,0,0,0,0,0,0,19,0,1764,12,0,4563,0,3764,1074,0,1384,0,23,4
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__incisior",9542,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__Cenococcum;unidentified",504,3917,9,262,1572,353,175,8245,2103,3539,1398,6506,6867,335,4431,448,1622,243,1918,621,1944,2875,1741,1920
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__rosea",0,0,0,0,0,0,0,852,0,0,0,0,1031,54,2797,1717,7893,0,0,147,254,9,984,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;unidentified;unidentified;unidentified",2,12,55,80,181,61,189,188,45,517,499,855,15,17,50,80,90,46,32,21,298,5284,4703,0
"k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__dimorpha",18,79,24,32,17,102,316,40,22,25,239,870,1375,910,488,273,1356,503,56,68,287,258,153,30
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Glutinomyces;unidentified",81,300,247,221,423,331,201,244,413,48,581,375,1697,1905,908,1205,683,1714,280,282,608,538,337,238
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__columbetta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2966,0,0,0,0,0,0,9760,0,0
"k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Microglossum;s__olivaceum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7290,0,5,83,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__phalloides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,14,5143,130,0,0,0,0,0,0
"k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucoromycotina_ord_Incertae_sedis;f__Mucoromycotina_fam_Incertae_sedis;g__Bifiguratus;unidentified",0,0,0,0,0,0,0,19,0,0,0,0,246,9,129,48,51,0,809,416,1081,1513,1385,699
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__quietiodor",0,0,0,0,0,0,0,1585,2572,3463,543,139,148,0,0,0,0,0,0,212,837,79,0,292
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Cheilymenia;unidentified",0,1452,1680,0,324,1496,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;unidentified",63,31,14,826,421,278,58,3,23,38,112,3109,82,5,0,37,0,5,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Dothiora;unidentified",12,29,4181,33,10,16,197,29,395,11,20,27,33,18,4,6,13,0,0,0,0,0,0,4
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;unidentified",452,393,195,533,592,807,109,55,134,475,422,85,215,36,59,164,113,47,192,139,70,75,85,136
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__griseostipitata",0,0,0,0,0,0,237,0,0,0,582,0,480,2513,550,771,648,1869,0,0,0,119,0,0
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__podzolica",765,660,1315,275,886,1152,367,59,0,269,375,31,55,98,295,751,103,161,116,155,42,149,105,189
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__anisopliae",69,77,233,1352,1253,1445,0,0,0,5,10,0,0,0,0,3,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__posterula",0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,18,0,0,95,18,53,0,194,4239
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__foetens",0,0,0,0,0,0,0,1896,0,6,0,0,0,0,0,0,0,0,71,9,0,0,3270,1280
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__columnaris",788,772,433,633,208,776,0,32,0,65,281,220,24,3,34,0,0,0,20,0,0,12,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__recondita",3072,121,1164,0,346,302,10,659,73,264,638,705,0,0,532,0,0,0,55,34,0,123,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiella;s__irregularis",3,7,18,3824,24,26,0,0,0,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__lusitanicum",12,0,0,0,295,221,0,0,0,2684,303,336,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inosperma;s__rimosoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,31,2410,1249,688
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;unidentified",0,0,0,0,0,0,0,0,126,3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__aurea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065,122,6,69,593
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__diabolicorigens",0,0,0,0,0,0,0,0,0,0,0,0,18,0,3683,0,2,13,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces;s__yunnanensis",0,134,0,0,0,0,1546,84,1852,0,49,23,0,0,4,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;unidentified",0,0,0,0,0,0,0,0,0,0,0,0,1583,3951,0,148,48,3123,30,3,1048,54,719,1265
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__densifolia",0,0,0,0,3,0,0,0,4,0,1355,610,0,0,7,0,261,0,4238,970,6508,0,896,1686
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;unidentified",52,9,35,11,132,106,35,76,29,4,297,66,176,1832,773,557,806,1570,51,38,176,89,48,13
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cerolens",0,0,0,301,0,0,0,272,713,2104,175,0,0,71,6,152,0,5,0,0,0,19,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea;s__epsilon",3,3,78,1044,63,858,55,8,769,32,137,521,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__chlamydosporicum",0,0,0,0,0,0,45,72,13,0,73,153,397,725,594,294,534,560,292,130,590,353,219,66
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;g__Cenococcum;s__geophilum",403,0,7,0,1395,166,54,1974,276,100,0,2653,0,0,0,0,0,0,0,0,0,467,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__tenerifae",30,485,640,875,914,293,2602,52,276,20,147,36,4,0,15,17,0,0,0,0,7,0,0,0
"k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium;unidentified",0,70,0,0,0,0,0,109,127,4,124,1020,407,6,294,69,128,33,612,1010,762,1666,1446,721
"k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__rishikesha",94,526,409,280,644,654,539,145,434,95,495,87,14,0,96,13,19,10,0,0,0,18,0,0
"k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__humilis",0,0,0,5,77,0,0,0,0,18,0,0,0,428,271,424,731,1312,0,49,0,21,0,25
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Ploettnerulaceae;g__Cadophora;unidentified",11,7,0,43,15,17,10,0,0,32,51,195,27,14,2,3291,0,79,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__odorata",0,0,0,0,0,0,1181,586,12,0,0,2459,303,0,0,9,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Aleuria;unidentified",183,785,0,207,885,19,294,65,386,0,0,14,0,0,0,0,0,0,0,0,41,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__coerulea",0,0,0,0,0,0,0,0,0,241,1633,0,151,12,0,15,223,2,83,76,43,702,99,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;unidentified",0,2700,0,0,0,0,0,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;unidentified",0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,65,1003,15,1975,0,486,1748
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__fragilis",0,0,0,0,0,0,0,0,0,0,0,9,0,56,177,577,823,2427,0,0,0,52,0,0
