"","kingdom","phylum","class","order","family","genus","species"
"1","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unidentified"
"2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"3","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus persoonii"
"4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus","Lactifluus bertillonii"
"5","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cyanoxantha"
"6","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius incisior"
"7","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","unidentified"
"8","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula rosea"
"9","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","unidentified"
"11","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis dimorpha"
"13","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Glutinomyces","unidentified"
"14","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma columbetta"
"15","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Microglossum","Microglossum olivaceum"
"18","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita phalloides"
"20","Fungi","Mucoromycota","Mucoromycotina_cls_Incertae_sedis","Mucoromycotina_ord_Incertae_sedis","Mucoromycotina_fam_Incertae_sedis","Bifiguratus","unidentified"
"21","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe quietiodor"
"22","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Cheilymenia","unidentified"
"23","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","unidentified"
"24","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","unidentified"
"25","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","unidentified"
"26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula griseostipitata"
"27","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma podzolica"
"29","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium anisopliae"
"31","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe posterula"
"32","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula foetens"
"33","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe columnaris"
"34","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula recondita"
"35","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","Sporormiella irregularis"
"36","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber lusitanicum"
"37","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inosperma","Inosperma rimosoides"
"38","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","unidentified"
"39","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula aurea"
"40","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius diabolicorigens"
"41","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces yunnanensis"
"42","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Pilodermataceae","Piloderma","unidentified"
"43","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula densifolia"
"45","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unidentified"
"46","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cerolens"
"49","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea epsilon"
"50","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron chlamydosporicum"
"52","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum geophilum"
"53","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia tenerifae"
"54","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","unidentified"
"55","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella rishikesha"
"56","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila humilis"
"58","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ploettnerulaceae","Cadophora","unidentified"
"61","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula odorata"
"62","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria","unidentified"
"63","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella coerulea"
"66","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","unidentified"
"67","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","unidentified"
"68","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula fragilis"
"72","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inosperma","Inosperma acutofulvum"
"73","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula heterophylla"
