"","AD1","AD2","AD3","AH1","AH2","AH3","CD1","CD2","CD3","CH1","CH2","CH3","LD1","LD2","LD3","LH1","LH2","LH3","VD1","VD2","VD3","VH1","VH2","VH3"
"k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__Absidia repens",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__unidentified",0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,3,0,0,5,0,0,0,5,0
"k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Acephala;s__unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified",1,188,36,56,87,26,30,89,0,19,320,15,25,46,120,14,7,21,32,368,51,348,65,126
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Morosphaeriaceae;g__Acrocalymma;s__Acrocalymma medicaginis",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Morosphaeriaceae;g__Acrocalymma;s__Acrocalymma vagum",0,0,0,0,0,0,0,0,0,5,0,5,8,33,0,0,6,26,0,0,34,0,9,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Acrostalagmus;s__Acrostalagmus luteoalbus",0,135,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,4,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Acrostalagmus;s__unidentified",0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0,19,0,4,0
"k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Actinomucor;s__Actinomucor elegans",0,0,5,0,13,0,4,17,0,0,0,2,1,1,0,0,2,5,3,0,0,0,9,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria atra",7,0,13,0,50,21,28,117,0,12,0,10,24,2,38,4,0,19,2,0,109,0,128,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__unidentified",0,0,0,396,0,0,0,0,0,0,801,0,0,0,0,0,0,0,4,344,0,2936,0,428
