"","kingdom","phylum","class","order","family","genus","species"
"1","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","Absidia repens"
"2","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","unidentified"
"3","Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","unidentified"
"4","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Acephala","unidentified"
"5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","unidentified"
"12","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Acrocalymma","Acrocalymma medicaginis"
"13","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Acrocalymma","Acrocalymma vagum"
"14","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","Acrostalagmus luteoalbus"
"15","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","unidentified"
"16","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Actinomucor","Actinomucor elegans"
"17","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria atra"
"18","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unidentified"
"19","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria eichhorniae"
"20","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria infectoria"
"21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria japonica"
"22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria obclavata"
"23","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria penicillata"
"24","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria planifunda"
"25","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria sonchi"
"27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria triticina"
"28","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria zinniae"
"29","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Amycosphaerella","unidentified"
